"","x"
"1",0.0568478708230171
"2",-0.0431521291769829
"3",0.0346256486007949
"4",-0.00148546251031624
"5",0.00351453748968375
"6",0.00129231526746154
"7",0.00922882320396948
"8",0.0235145374896838
"9",-0.000559536584390305
"10",-0.00481879584364958
"11",0.00836302233816861
"12",0.00268120415635043
"13",-0.00981879584364959
"14",-0.012199748224602
"15",-0.0287076847325385
"16",0.00893120415635043
"17",-0.00491683505933584
"18",-0.00148546251031624
"19",0.00421629187564869
"20",-0.0248187958436496
"21",-0.00823149425634798
"22",-0.0280006140254678
"23",0.00757250850417651
"24",-9.65736214273498e-05
"25",-0.0311521291769829
"26",-0.0104598214846752
"27",-0.00549780818932857
"28",-0.0104140339388877
"29",-0.00751994526893693
"30",-0.00537435139920513
"31",0.00738550523161925
"32",-0.00565212917698291
"33",-0.00476829079314453
"34",-0.0161913448632574
"35",-0.00839022441507814
"36",-0.000559536584390317
"37",-0.00035933638419013
"38",-0.00631002391382501
"39",-0.0119555479804017
"40",-0.00523546251031624
"41",-0.0138838364940561
"42",-0.0165648275896813
"43",-0.0167955400296961
"44",-0.0124703109951647
"45",-0.00389286991772365
"46",-0.0170651726552438
"47",-0.0144287249216638
"48",-0.00599935139920512
"49",-0.0145807006055543
"50",-0.0191521291769829
"51",-0.00785801152992408
"52",-0.00533161635647008
"53",-0.00793200339081939
"54",-0.0113620057201928
"55",-0.0101218261466799
"56",-0.0136878434626972
"57",-0.0136199654342928
"58",-0.00378431308502889
"59",-0.0101012817193558
"60",-0.0100965736214273
"61",-0.00981879584364957
"62",-0.00471126896192914
"63",-0.00955424557909929
"64",-0.0113812958436496
"65",-0.000331616356470099
"66",-0.00830364432849806
"67",-0.00782874609240579
"68",-0.0100638938828653
"69",-0.0103018876310892
"70",-0.00219974822460196
"71",-0.0121662136840252
"72",-0.0156058328806866
"73",-0.0105037273504989
"74",-0.00891789494274868
"75",-0.00737435139920513
"76",-0.00806440987873729
"77",-0.00873654476139848
"78",-0.00340853943339317
"79",-0.000325124957573623
"80",-0.00981879584364958
"81",-0.0094072732099047
"82",-0.00311147877047884
"83",-0.00680674765087849
"84",-0.0068426053674591
"85",-0.0055050703534535
"86",-0.00129166406070384
"87",-0.0155659222804312
"88",-0.0137960685709223
"89",-0.0036390205627507
"90",-0.00963361065846439
"91",-0.0156796017044554
"92",-0.0145289407711858
"93",-0.0132238137647965
"94",-0.00272659726208929
"95",-0.00771353268575483
"96",-0.00756185139920513
"97",-0.0117088302079107
"98",-0.0118596121701802
"99",-0.00965044567529941
"100",-0.00331879584364957
